0 0.000000
1 0.078378
2 0.233205
3 0.382290
4 0.521962
5 0.648781
6 0.759624
7 0.851764
8 0.922930
9 0.971371
10 0.995893
11 0.995893
12 0.971371
13 0.922930
14 0.851764
15 0.759624
16 0.648780
17 0.521961
18 0.382290
19 0.233205
20 0.078378
21 -0.078379
22 -0.233206
23 -0.382290
24 -0.521961
25 -0.648780
26 -0.759624
27 -0.851764
28 -0.922930
29 -0.971370
30 -0.995893
31 -0.995893
32 -0.971371
33 -0.922931
34 -0.851765
35 -0.759626
36 -0.648782
37 -0.521963
38 -0.382292
39 -0.233208
40 -0.078381
41 0.078376
