0.012500 -nan 0.078459 
0.037500 -nan 0.233445 
0.062500 -nan 0.382683 
0.087500 -nan 0.522499 
0.112500 -nan 0.649448 
0.137500 -nan 0.760406 
0.162500 -nan 0.852640 
0.187500 -nan 0.923880 
0.212500 -nan 0.972370 
0.237500 -nan 0.996917 
0.262500 -nan 0.996917 
0.287500 -nan 0.972370 
0.312500 -nan 0.923880 
0.337500 -nan 0.852640 
0.362500 -nan 0.760406 
0.387500 -nan 0.649448 
0.412500 -nan 0.522499 
0.437500 -nan 0.382683 
0.462500 -nan 0.233445 
0.487500 -nan 0.078459 
0.512500 -nan -0.078459 
0.537500 -nan -0.233445 
0.562500 -nan -0.382683 
0.587500 -nan -0.522499 
0.612500 -nan -0.649448 
0.637500 -nan -0.760406 
0.662500 -nan -0.852640 
0.687500 -nan -0.923880 
0.712500 -nan -0.972370 
0.737500 -nan -0.996917 
0.762500 -nan -0.996917 
0.787500 -nan -0.972370 
0.812500 -nan -0.923880 
0.837500 -nan -0.852640 
0.862500 -nan -0.760406 
0.887500 -nan -0.649448 
0.912500 -nan -0.522498 
0.937500 -nan -0.382683 
0.962500 -nan -0.233445 
0.987500 -nan -0.078459 
1.012500 -nan 0.078459 
